year,ADM_NM,인구
2020,가람동,712
2020,고운동,23474
2020,나성동,5175
2020,다정동,19325
2020,대평동,7933
2020,도담동,18915
2020,반곡동,9134
2020,보람동,15837
2020,새롬동,19813
2020,세종동,2800
2020,소담동,13759
2020,아름동,17987
2020,어진동,6291
2020,종촌동,20567
2020,한별동,32
2020,한솔동,14220
2020,해밀동,2478
2021,가람동,711
2021,고운동,23384
2021,나성동,5966
2021,다솜동,6
2021,다정동,21357
2021,대평동,8263
2021,도담동,18883
2021,반곡동,9052
2021,보람동,15758
2021,새롬동,19606
2021,세종동,2895
2021,소담동,15099
2021,아름동,18055
2021,어진동,6539
2021,종촌동,20540
2021,한별동,13
2021,한솔동,14038
2021,해밀동,5526
2022,가람동,697
2022,고운동,23726
2022,나성동,5980
2022,다정동,21301
2022,대평동,8119
2022,도담동,18901
2022,반곡동,9007
2022,보람동,15581
2022,새롬동,19565
2022,세종동,2837
2022,소담동,14858
2022,아름동,18204
2022,어진동,6455
2022,종촌동,20464
2022,한별동,7
2022,한솔동,13762
2022,해밀동,5548
2023,가람동,697
2023,고운동,23869
2023,나성동,5753
2023,다정동,21556
2023,대평동,8230
2023,도담동,18921
2023,반곡동,9224
2023,보람동,15798
2023,새롬동,19884
2023,세종동,2910
2023,소담동,15189
2023,아름동,18581
2023,어진동,6405
2023,종촌동,20572
2023,한솔동,13976
2023,해밀동,5580
