year,ADM_NM,pop
2020,가람동,304284.27
2020,고운동,1262602.24
2020,금남면,1205061.96
2020,나성동,504590.05
2020,누리동,58814.45
2020,다솜동,81955.41
2020,다정동,720145.96
2020,대평동,790366.04
2020,도담동,787840.35
2020,반곡동,417116.42
2020,보람동,545763.98
2020,부강면,639496.97
2020,산울동,128143.92
2020,새롬동,656588.6
2020,세종동,568785.36
2020,소담동,300075.4
2020,소정면,462563.07
2020,아름동,861051.96
2020,어진동,1226133.21
2020,연기면,297911.48
2020,연동면,563126.75
2020,연서면,535465.62
2020,용호동,39999.32
2020,장군면,819584.8
2020,전동면,501975.28
2020,전의면,795158.34
2020,조치원읍,1872131.3
2020,종촌동,768449.21
2020,집현동,162001.11
2020,한별동,37302.06
2020,한솔동,561194.92
2020,합강동,18953.16
2020,해밀동,42418.73
2021,가람동,260884.96
2021,고운동,1566428.6
2021,금남면,1310149.37
2021,나성동,479943.9
2021,누리동,92319.32
2021,다솜동,76764.16
2021,다정동,588838.45
2021,대평동,684583.55
2021,도담동,1102085.11
2021,반곡동,409128.37
2021,보람동,482048.92
2021,부강면,697554.56
2021,산울동,167702.7
2021,새롬동,413797.91
2021,세종동,953076.1
2021,소담동,220672.79
2021,소정면,546653.85
2021,아름동,1072365.03
2021,어진동,1280942.19
2021,연기면,326821.62
2021,연동면,591263.14
2021,연서면,556778.93
2021,용호동,20267.0
2021,장군면,834258.27
2021,전동면,503580.53
2021,전의면,777092.53
2021,조치원읍,2058722.05
2021,종촌동,1215339.59
2021,집현동,206225.13
2021,한별동,36758.64
2021,한솔동,530492.92
2021,합강동,19678.73
2021,해밀동,42188.4
2022,가람동,269101.59
2022,고운동,1632379.7
2022,금남면,1122606.54
2022,나성동,455473.78
2022,누리동,123858.12
2022,다솜동,44275.44
2022,다정동,633459.54
2022,대평동,685646.34
2022,도담동,992715.85
2022,반곡동,423184.0
2022,보람동,438302.41
2022,부강면,748614.4
2022,산울동,195900.02
2022,새롬동,348896.77
2022,세종동,1025133.57
2022,소담동,178753.25
2022,소정면,555125.97
2022,아름동,1069107.57
2022,어진동,1334585.26
2022,연기면,309412.84
2022,연동면,538605.61
2022,연서면,511173.32
2022,용호동,20928.45
2022,장군면,679946.3
2022,전동면,569477.5
2022,전의면,704868.59
2022,조치원읍,2558762.84
2022,종촌동,1155997.15
2022,집현동,365426.16
2022,한별동,30435.58
2022,한솔동,535686.64
2022,합강동,16437.89
2022,해밀동,50600.91
